answer,human,vader,textblob,roberta,distilbert
"I have confidence in the polling arrangements and therefore am happy for them to contiinue . However, more scrutiny within the polling stations  woul alleviate the fears of others. Also more checks should be done that people voting are actually resident and not using family addresses.",0.5,0.586,0.45,0.639,-0.011
Why more uncertainty? We don't know what's going on after brexit. We have just hit a bus. The first minister is trying to throw us under it.,-1.0,-0.401,0.375,-0.823,-0.572
This appears to be satisfactory. There was a high degree of scrutiny and attention paid to the results in 2014 and I am content that the referendum was fair and transparent.,0.5,0.586,0.43,0.877,-0.274
Proposals seem fair and abide by the normal conventions,0.5,0.318,0.425,0.285,0.076
Words can't explain how much I want independence for Scotland.,1.0,0.077,0.2,0.485,-0.062
Should report to the UK Parliament for transperancy and because we are still in the UK,0.0,0.0,0.0,-0.238,-0.016
The purdah period was not respected last time and the UK government appeared to be able to unfairly influence the results by using public bodies such as the treasury as their own tools. This needs to be explicitly dealt with in the 'rules'.,-0.5,-0.191,0.1,-0.767,-0.346
The First Minister signed the Edinburgh Agreement that laid the ground for the Independence Referendum 2014 was to be the decisive vote on the future of Scotland within the United Kingdom. It was to be a once in a lifetime vote. It proved to be destructive and divisive to Scottish society. This exercise and consultation means the First Minister is breaking her promise and should not even be considered. This is an SNP obsession and was not supported my the majority of Scottish voters.  The Scottish Government has no constitutional authority to pursue a second referendum. It is for the UK Parliament to decide.,-1.0,0.206,-0.069,-0.881,-0.854
These seem appropriate and a referendum is necessary and urgent given Scotland's position with regard to Brexit and the evident will to remain in the European Union.,1.0,0.202,0.188,0.286,0.115
it should not happen. the people voted in a once in a generation vote.   why are you wasting so much money on this.,-1.0,-0.402,0.2,-0.906,0.008
These seem entirely sensible and not contentious,0.5,0.224,0.0,0.7,-0.282
International independent observers should also be employed for oversight. Perhaps from EU countries.,0.5,0.0,0.0,0.054,-0.014
I would expect the management to be similar to the 2014 referendum,0.0,0.0,0.0,-0.034,-0.1
"It is unnecessary as we voted on this very issue in 2014. The current First Minister, when deputy First Minister said this was a once in a generation vote. Less than 5 years after said vote is too soon",-1.0,0.0,0.06,-0.586,-0.317
"I am very pleased to see these proposed arrangements. They concur with the Scottish Government's mandate further to the SNP manifesto commitment earlier in the year. Needless to say, this is within the context of the EU referendum, threatened Brexit, alongside Scotland's overwhelming Remain vote.   Running a small business in Scotland I see that this consultation as an essential step in reserving Scotland's position should the UK government fail to respect Scotland's remain vote and their 2014 promise that we would be an ""equal partner"" in a family of nations. For Scotland to be dragged out of the EU and especially the single market against our will would not only be democratically indefensible but also extremely damaging to the Scottish economy as recently outlined by the Fraser of Allander Institute.",1.0,-0.564,0.016,0.305,-0.641
I would like to see better security for ballot boxes. They need to be counted out and in and receipted. I would like to see other/external monitoring of the count in addition to what us normally provided. I fear that attempts will be made to subvert YES votes.,0.0,0.832,0.325,-0.38,-0.311
It is my view a shorter campaign period would be preferable in this instance as most of the issues have been aired and understood previously.,0.5,0.0,0.144,0.139,-0.203
"I agree that the previous referendum was run successfully, fairly and effectively. Due to this, I agree that the next referendum should be run in the same way.",0.5,0.878,0.082,0.753,0.097
"I have no problems with the proposals for managing the referendum but would ask that external (ie international), independent oversight and auditing be considered to allay potential concerns about interference.",0.5,0.16,0.0,-0.159,0.026
There should not be one we voted in 2014 with clear answer was no,-1.0,0.103,0.1,-0.572,-0.216
The existing arrangements work well so the decision to replicate these is sound.,0.5,0.273,0.4,0.853,0.293
"There shouldn't be any arrangements full stop. Putting aside that any vote without our real Government in Westminster's approval would be illegal, this proposed ""Bill"" is a disgrace - the SNP have lied to the Scottish people about the last independence vote being a ""once in a lifetime"" opportunity and are continuing to fail the country by focusing on continual anti-Tory rhetoric, stoking up resentment with unfounded claims of xenophobia following the Brexit vote and using a bullshit argument that the only reason Scots voted to remain in the UK was to stay part of the EU, (nothing to do with the lack of any SNP plan for an independent Scotland that is not utter fantasy!).   The SNP should be ashamed of themselves. They have spent almost the last decade running this country into the ground and blaming ""Westmonster"". Given their economic arguments they obviously have no clue how to run a country and are LUCKY to be part of the UK and its ability to pay Scotland's way. Raising a new referendum is either an attempt to disguise that fact, or, purely an attempt by Sturgeon to cling to control of this cultist party - not exactly ""Stronger for Scotland"" is it?   Saying that because ""Scotland"" voting to ""remain"" in the Brexit referendum is a reason for Scotland to have a re-run of the independence vote is like saying Dumfriesshire, Orkney & Shetland and Edinburgh South should have their own governments because they didn't vote for the morally corrupt SNP!",-1.0,-0.975,0.016,-0.929,-0.834
I agree with the proposed arrangements as detailed in the paper,0.5,0.361,0.4,0.832,0.276
"It's unfortunate that those Scots currently not living in Scotland do not get a say, but I appreciate the reasons why and am content.",0.0,0.372,-0.25,-0.062,-0.196
"This second referendum is completely unnecessary. The result two years ago was clear. Scotland wishes to remain in the UK in the same way that the 'Brexit' result is clear.  Like it or not, that is how democracy works and it is time the Scottish Government accepted that.",-1.0,0.888,-0.04,-0.291,-0.58
What don't you understand about NO?,-1.0,-0.296,0.0,-0.527,-0.247
"I think as soon as we can get out of the UK, the better.",1.0,0.44,0.5,0.538,0.403
Great,1.0,0.625,0.8,0.575,0.973
"The process is suited for this type of vote. however tighter security and background checks for all involved in the counting process must be achieved to prevent possible cheating or rigging of the vote, scrutiny is key.",0.5,-0.273,0.0,-0.053,0.169
The  improvements seem sensible.,0.5,0.459,0.0,0.671,0.134
I think this makes a lot of sense. It is the people of Scotland it would effect the most.,0.5,0.0,0.5,0.096,-0.389
"Given the significant issues facing British citizens resident in the EU, I feel that voting rights should extend to those living in EU countries and given permission to vote in Scottish constituencies under the 15-year rule, as the outcome could have a significant effect on their future plans.",0.5,0.511,0.207,0.053,-0.054
"Appreciate the tightening of proxy votes, a huge concern during the previous referendum.",0.5,0.612,0.117,0.304,-0.305
Fine with me.,0.5,0.202,0.417,0.4,0.743
"I felt there was previoulsy widespread abuse of the postal vote system, especially in areas such as Aberdeen who have expats across the world. Even in my small circle I knew 3 or 4 people who had permanently settled in middle east and Australia who were casting votes for a country they had no intention of living in or returning to. This was due to having access to a local address. It didn't seem fair.",-0.5,-0.811,0.046,-0.822,-0.656
"If this disaster SNP obsessed referendum ever get off the ground a minimum turnout and majority must be defined.  For such a drastic change in the constitution of the United Kingdom, an vote must have a substantial vote in favour of the status quo. A minimum of a 60% vote from a least 85% of the voting population should be required. A simple majority is not enough and resulted in the failed BREXIT vote.",-1.0,-0.382,-0.217,-0.726,-0.412
These seem appropriate and a referendum is necessary and urgent given Scotland's position with regard to Brexit and the evident will to remain in the European Union.,1.0,0.202,0.188,0.286,0.115
I agree with all these proposals,0.5,0.361,0.0,0.818,0.217
Agree,0.5,0.361,0.0,0.054,0.448
Happy with these amendments,0.5,0.572,0.8,0.855,0.916
The must not knowingly appoint point is too loose. Far too many campaigners could easily slip through,-0.5,0.026,0.239,-0.646,-0.5
